code,current_losses,current_ties,current_wins,d_rating,global_d,global_o,global_rating,goal_diff,goals_against,goals_scored,id,losses,make_champs,make_europa,make_playoffs,make_pro_rel,name,o_rating,position_1,pro_rel_d,pro_rel_o,promoted,relegated,sdr_id,ties,win_league,wins,current_points,last_updated,group
TRY,23.0,6.0,9.0,1.28875,1.16853,1.22399,46.5882,-27.0,59.0,32.0,170,23.0,0.0,0.0,0.0,0.0,Troyes,1.10377,0.0,0.00039,0.00033,0.0,1.0,74461,6.0,0.0,9.0,33.0,2018-05-19 20:54,
LYON,6.0,9.0,23.0,0.89979,0.77957,2.27139,76.68573,44.0,43.0,87.0,167,6.0,1.0,0.0,0.0,0.0,Lyon,2.15117,0.0,0.00027,0.00065,0.0,0.0,74432,9.0,0.0,23.0,78.0,2018-05-19 20:54,
TOU,19.0,10.0,9.0,1.13079,1.01057,1.42226,55.17391,-16.0,54.0,38.0,179,19.0,0.0,0.0,0.0,1.0,Toulouse,1.30204,0.0,1.13079,1.30204,0.0,0.2711,74439,10.0,0.0,9.0,37.0,2018-05-19 20:54,
STRA,18.0,11.0,9.0,1.31311,1.19289,1.46355,51.78144,-23.0,67.0,44.0,180,18.0,0.0,0.0,0.0,0.0,Strasbourg,1.34333,0.0,0.00039,0.0004,0.0,0.0,74446,11.0,0.0,9.0,38.0,2018-05-19 20:54,
MNT,9.0,18.0,11.0,0.89333,0.77311,1.38617,60.38308,3.0,33.0,36.0,274,9.0,0.0,0.0,0.0,0.0,Montpellier,1.26595,0.0,0.00027,0.00038,0.0,0.0,74452,18.0,0.0,11.0,51.0,2018-05-19 20:54,
LLE,20.0,8.0,10.0,1.38126,1.26104,1.46755,50.31064,-26.0,67.0,41.0,166,20.0,0.0,0.0,0.0,0.0,Lille,1.34733,0.0,0.00041,0.0004,0.0,0.0,74438,8.0,0.0,10.0,38.0,2018-05-19 20:54,
MON,6.0,8.0,24.0,1.04394,0.92373,2.1211,71.17497,40.0,45.0,85.0,174,6.0,1.0,0.0,0.0,0.0,AS Monaco,2.00088,0.0,0.00031,0.0006,0.0,0.0,74430,8.0,0.0,24.0,80.0,2018-05-19 20:54,
NAN,14.0,10.0,14.0,0.98313,0.86291,1.37341,57.74196,-5.0,41.0,36.0,165,14.0,0.0,0.0,0.0,0.0,Nantes,1.2532,0.0,0.00029,0.00038,0.0,0.0,74463,10.0,0.0,14.0,52.0,2018-05-19 20:54,
REN,12.0,10.0,16.0,0.94532,0.82511,1.54888,62.67282,6.0,44.0,50.0,169,12.0,0.0,0.0,0.0,0.0,Stade Rennes,1.42866,0.0,0.00028,0.00043,0.0,0.0,74434,10.0,0.0,16.0,58.0,2018-05-19 20:54,
AMI,17.0,9.0,12.0,1.16385,1.04363,1.22577,49.59839,-5.0,42.0,37.0,3335,17.0,0.0,0.0,0.0,0.0,Amiens,1.10555,0.0,0.00035,0.00033,0.0,0.0,74450,9.0,0.0,12.0,45.0,2018-05-19 20:54,
ANG,15.0,14.0,9.0,1.04327,0.92305,1.41742,57.23907,-10.0,52.0,42.0,7868,15.0,0.0,0.0,0.0,0.0,Angers,1.2972,0.0,0.00031,0.00039,0.0,0.0,74464,14.0,0.0,9.0,41.0,2018-05-19 20:54,
PSG,3.0,6.0,29.0,0.76129,0.64107,2.80075,85.74688,79.0,29.0,108.0,160,3.0,1.0,0.0,0.0,0.0,Paris Saint-Germain,2.68053,1.0,0.00023,0.0008,0.0,0.0,74427,6.0,1.0,29.0,93.0,2018-05-19 20:54,
MTZ,24.0,8.0,6.0,1.52594,1.40572,1.32303,43.72856,-42.0,76.0,34.0,177,24.0,0.0,0.0,0.0,0.0,Metz,1.20281,0.0,0.00046,0.00036,0.0,1.0,74444,8.0,0.0,6.0,26.0,2018-05-19 20:54,
STE,13.0,10.0,15.0,1.0661,0.94588,1.65787,61.97405,-3.0,50.0,47.0,178,13.0,0.0,0.0,0.0,0.0,St Etienne,1.53765,0.0,0.00032,0.00046,0.0,0.0,74436,10.0,0.0,15.0,55.0,2018-05-19 20:54,
DIJ,16.0,9.0,13.0,1.3604,1.24018,1.64962,54.85074,-18.0,73.0,55.0,3170,16.0,0.0,0.0,0.0,0.0,Dijon FCO,1.5294,0.0,0.00041,0.00046,0.0,0.0,74455,9.0,0.0,13.0,48.0,2018-05-19 20:54,
GUI,15.0,11.0,12.0,1.28094,1.16072,1.6291,56.23473,-11.0,59.0,48.0,171,15.0,0.0,0.0,0.0,0.0,Guingamp,1.50889,0.0,0.00038,0.00045,0.0,0.0,74451,11.0,0.0,12.0,47.0,2018-05-19 20:54,
BOR,15.0,7.0,16.0,0.97513,0.85491,1.7224,65.52353,5.0,48.0,53.0,159,15.0,0.0,0.0,0.0,0.0,Bordeaux,1.60219,0.0,0.00029,0.00048,0.0,0.0,74428,7.0,0.0,16.0,55.0,2018-05-19 20:54,
MRS,5.0,11.0,22.0,0.9803,0.86008,2.21918,74.15722,33.0,47.0,80.0,176,5.0,0.0,0.0,0.0,0.0,Marseille,2.09896,0.0,0.00029,0.00063,0.0,0.0,74431,11.0,0.0,22.0,77.0,2018-05-19 20:54,
CAN,20.0,8.0,10.0,1.21497,1.09475,1.20542,47.85434,-25.0,52.0,27.0,2927,20.0,0.0,0.0,0.0,0.0,Caen,1.0852,0.0,0.00036,0.00033,0.0,0.0,74445,8.0,0.0,10.0,38.0,2018-05-19 20:54,
NCE,14.0,9.0,15.0,1.02453,0.90431,1.70194,63.89924,1.0,52.0,53.0,2502,14.0,0.0,0.0,0.0,0.0,Nice,1.58172,0.0,0.00031,0.00047,0.0,0.0,74437,9.0,0.0,15.0,54.0,2018-05-19 20:54,
TRY,22.0,6.0,9.0,1.26072,1.1405,1.2422,47.69664,-24.6252,57.7605,33.1353,170,22.51095,0.0,0.0,0.0,0.14115,Troyes,1.12198,0.0,1.22176,1.18344,0.0,0.9059,74461,6.24925,0.0,9.2398,33.0,2018-05-16 20:41,
LYON,6.0,9.0,22.0,0.87889,0.75867,2.24438,76.74426,44.0197,41.9083,85.928,167,6.16745,0.70375,0.0,0.0,0.0,Lyon,2.12416,0.0,0.00066,0.00159,0.0,0.0,74432,9.22855,0.0,22.604,75.0,2018-05-16 20:41,
TOU,19.0,10.0,8.0,1.14893,1.02872,1.39788,54.15794,-16.75205,54.20445,37.4524,179,19.30985,0.0,0.0,0.0,0.55155,Toulouse,1.27767,0.0,1.15862,1.26001,0.0,0.30395,74439,10.2718,0.0,8.41835,34.0,2018-05-16 20:41,
STRA,17.0,11.0,9.0,1.34754,1.22732,1.49001,51.59491,-22.63985,67.54705,44.9072,180,17.5165,0.0,0.0,0.0,0.0,Strasbourg,1.36979,0.0,0.00101,0.00103,0.0,0.0,74446,11.26525,0.0,9.21825,38.0,2018-05-16 20:41,
MNT,9.0,17.0,11.0,0.91104,0.79082,1.37913,59.75262,2.4915,33.25115,35.74265,274,9.47555,0.0,0.0,0.0,0.0,Montpellier,1.25891,0.0,0.00068,0.00094,0.0,0.0,74452,17.31035,0.0,11.2141,50.0,2018-05-16 20:41,
LLE,19.0,8.0,10.0,1.30158,1.18136,1.49653,52.80515,-21.6761,63.67315,41.99705,166,19.52815,0.0,0.0,0.0,0.0,Lille,1.37631,0.0,0.00098,0.00103,0.0,0.0,74438,8.25115,0.0,10.2207,38.0,2018-05-16 20:41,
MON,6.0,8.0,23.0,1.06149,0.94127,2.08219,70.12503,37.6252,46.1353,83.7605,174,6.2398,0.98385,0.0,0.0,0.0,AS Monaco,1.96197,0.0,0.0008,0.00147,0.0,0.0,74430,8.24925,0.0,23.51095,77.0,2018-05-16 20:41,
NAN,14.0,10.0,13.0,1.00454,0.88432,1.40673,57.97311,-5.36015,41.9072,36.54705,165,14.21825,0.0,0.0,0.0,0.0,Nantes,1.28652,0.0,0.00075,0.00096,0.0,0.0,74463,10.26525,0.0,13.5165,49.0,2018-05-16 20:41,
REN,12.0,9.0,16.0,0.93953,0.81931,1.57317,63.34085,6.5085,43.74265,50.25115,169,12.2141,0.0,0.0,0.0,0.0,Stade Rennes,1.45295,0.0,0.0007,0.00109,0.0,0.0,74434,9.31035,0.0,16.47555,57.0,2018-05-16 20:41,
AMI,16.0,9.0,12.0,1.15493,1.03471,1.21425,49.52495,-5.6588,42.19625,36.53745,3335,16.7508,0.0,0.0,0.0,0.0,Amiens,1.09403,0.0,0.00087,0.00082,0.0,0.0,74450,9.1769,0.0,12.0723,45.0,2018-05-16 20:41,
ANG,14.0,14.0,9.0,1.04746,0.92724,1.42462,57.30054,-9.2837,51.4829,42.1992,7868,14.43075,0.0,0.0,0.0,0.0,Angers,1.3044,0.0,0.00079,0.00098,0.0,0.0,74464,14.26875,0.0,9.3005,41.0,2018-05-16 20:41,
PSG,3.0,5.0,29.0,0.79669,0.67647,2.90134,86.10181,80.6964,29.8915,110.5879,160,3.1028,1.0,0.0,0.0,0.0,Paris Saint-Germain,2.78112,1.0,0.0006,0.00209,0.0,0.0,74427,5.16195,1.0,29.73525,92.0,2018-05-16 20:41,
MTZ,23.0,8.0,6.0,1.47896,1.35874,1.37374,45.94566,-38.3915,73.5949,35.2034,177,23.45975,0.0,0.0,0.0,0.0,Metz,1.25352,0.0,0.00111,0.00094,0.0,1.0,74444,8.2557,0.0,6.28455,26.0,2018-05-16 20:41,
STE,13.0,10.0,14.0,1.09078,0.97056,1.57174,59.53003,-7.3239,50.99705,43.67315,178,13.2207,0.0,0.0,0.0,0.0,St Etienne,1.45152,0.0,0.00082,0.00109,0.0,0.0,74436,10.25115,0.0,14.52815,52.0,2018-05-16 20:41,
DIJ,16.0,9.0,12.0,1.36784,1.24763,1.65508,54.79966,-18.7163,73.1992,54.4829,3170,16.3005,0.0,0.0,0.0,0.0,Dijon FCO,1.53486,0.0,0.00103,0.00115,0.0,0.0,74455,9.26875,0.0,12.43075,45.0,2018-05-16 20:41,
GUI,14.0,11.0,12.0,1.25684,1.13662,1.65134,57.27644,-10.24795,58.4524,48.20445,171,14.41835,0.0,0.0,0.0,0.0,Guingamp,1.53112,0.0,0.00094,0.00115,0.0,0.0,74451,11.2718,0.0,12.30985,47.0,2018-05-16 20:41,
BOR,15.0,7.0,15.0,1.01924,0.89902,1.6737,63.45131,1.3915,49.2034,50.5949,159,15.28455,0.0,0.0,0.0,0.0,Bordeaux,1.55348,0.0,0.00076,0.00117,0.0,0.0,74428,7.2557,0.0,15.45975,52.0,2018-05-16 20:41,
MRS,5.0,11.0,21.0,0.96965,0.84944,2.20537,74.17641,33.6588,46.53745,80.19625,176,5.0723,0.3124,0.0,0.0,0.0,Marseille,2.08515,0.0,0.00073,0.00156,0.0,0.0,74431,11.1769,0.0,21.7508,74.0,2018-05-16 20:41,
CAN,20.0,7.0,10.0,1.2699,1.14968,1.24958,47.66544,-26.6964,54.5879,27.8915,2927,20.73525,0.0,0.0,0.0,0.3073,Caen,1.12936,0.0,1.28436,1.11145,0.0,0.11465,74445,7.16195,0.0,10.1028,37.0,2018-05-16 20:41,
