ties,points,group_4,group,group_1,group_2,o_rating_third,goal_diff,group_3,o_rating,losses,code,global_d,current_wins,current_losses,win_league,global_rating,sdr_id,wins,make_quarters,make_final,current_ties,make_semis,id,global_o,make_round_of_16,d_rating_third,d_rating,current_points,name,current_time,last_updated
1.0,16.0,0.0,D,1.0,0.0,0.00067,9.0,0.0,2.21818,0.0,POR,0.62875,5.0,0.0,0.0,80.53001,74329,5.0,1.0,0.0,1.0,0.0,437,2.29572,1.0,0.00021,0.70629,16.0,FC Porto,2019-06-10 01:00,2019-06-01 21:01
1.0,7.0,0.0,E,0.0,0.0,2.3587599999999997,-5.0,1.0,2.3587599999999997,3.0,BEN,0.91727,2.0,3.0,0.0,76.42319,74332,2.0,0.0,0.0,1.0,0.0,1929,2.4363,0.0,0.9948,0.9948,7.0,Benfica,2019-06-10 01:00,2019-06-01 21:01
1.0,7.0,1.0,G,0.0,0.0,0.0005099999999999999,-1.0,0.0,1.71327,3.0,CSKA,0.7894,2.0,3.0,0.0,70.00308000000001,74347,2.0,0.0,0.0,1.0,0.0,1963,1.85798,0.0,0.00028,0.93411,7.0,CSKA Moscow,2019-06-10 01:00,2019-06-01 21:01
0.0,9.0,0.0,G,0.0,1.0,0.0005099999999999999,3.0,0.0,1.71026,3.0,ROM,0.8278200000000001,3.0,3.0,0.0,74.34809,73831,3.0,0.0,0.0,0.0,0.0,104,2.1677400000000002,1.0,0.00039,1.2853,9.0,AS Roma,2019-06-10 01:00,2019-06-01 21:01
3.0,9.0,0.0,C,0.0,0.0,1.85529,2.0,1.0,1.85529,1.0,NAP,0.6693100000000001,2.0,1.0,0.0,79.8957,73848,2.0,0.0,0.0,3.0,0.0,114,2.31277,0.0,1.12678,1.12678,9.0,Napoli,2019-06-10 01:00,2019-06-01 21:01
1.0,13.0,0.0,A,1.0,0.0,0.00056,8.0,0.0,1.8662299999999998,1.0,DOR,0.73741,4.0,1.0,0.0,79.04885,74050,4.0,0.0,0.0,1.0,0.0,124,2.35652,1.0,0.00037,1.22769,13.0,Borussia Dortmund,2019-06-10 01:00,2019-06-01 21:01
2.0,14.0,0.0,B,1.0,0.0,0.0006900000000000001,9.0,0.0,2.3139,0.0,BAR,0.38081,4.0,0.0,0.0,91.73827,74014,4.0,1.0,0.0,2.0,1.0,83,3.0061400000000003,1.0,0.00032,1.0730600000000001,14.0,Barcelona,2019-06-10 01:00,2019-06-01 21:01
2.0,8.0,0.0,B,0.0,0.0,1.78237,-1.0,1.0,1.78237,2.0,INT,0.54308,2.0,2.0,0.0,81.63776999999999,73830,2.0,0.0,0.0,2.0,0.0,110,2.23985,0.0,1.0005600000000001,1.0005600000000001,8.0,Internazionale,2019-06-10 01:00,2019-06-01 21:01
0.0,12.0,0.0,H,1.0,0.0,0.0005099999999999999,5.0,0.0,1.6978900000000001,2.0,JUV,0.52686,4.0,2.0,0.0,80.88306,73847,4.0,1.0,0.0,0.0,0.0,111,2.15537,1.0,0.0003,0.98434,12.0,Juventus,2019-06-10 01:00,2019-06-01 21:01
3.0,6.0,0.0,F,0.0,0.0,2.25641,-8.0,1.0,2.25641,2.0,SHK,0.93124,1.0,2.0,0.0,71.79105,74219,1.0,0.0,0.0,3.0,0.0,493,2.15193,0.0,0.8267700000000001,0.8267700000000001,6.0,Shakhtar Donetsk,2019-06-10 01:00,2019-06-01 21:01
