code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
STE,11.0,14.0,12.0,1.1416,0.96622,40.06124,41.02746,,178,11.35036,0.0,0.0,St Etienne,1.29093,0.0,0.0,74436,14.31904,0.0,12.3306,2017-05-17 20:56
BAS,18.0,10.0,8.0,1.44761,-26.52414,56.9909,30.46676,,173,19.3282,0.0,0.0,Bastia,0.92125,0.0,0.72204,74457,10.4303,0.0,8.2415,2017-05-17 20:56
GUI,16.0,8.0,13.0,1.42553,-7.31138,53.97178,46.6604,,171,16.21262,0.0,0.0,Guingamp,1.41783,0.0,0.0,74451,8.2606,0.0,13.52678,2017-05-17 20:56
BOR,9.0,13.0,15.0,1.09132,10.13622,43.19552,53.33174,,159,9.32408,0.0,1.0,Bordeaux,1.57055,0.0,0.0,74428,13.28812,0.0,15.3878,2017-05-17 20:56
MRS,10.0,11.0,16.0,1.09779,16.26052,41.59884,57.85936,,176,10.10682,0.0,1.0,Marseille,1.69399,0.0,0.0,74431,11.22368,0.0,16.6695,2017-05-17 20:56
CAN,21.0,6.0,10.0,1.48889,-31.86604,67.43254,35.5665,,2927,21.89532,0.0,0.0,Caen,1.19819,0.0,0.40484,74445,6.0773,0.0,10.02738,2017-05-17 20:56
NCY,21.0,8.0,8.0,1.33097,-24.96622,52.02746,27.06124,,3267,21.3306,0.0,0.0,AS Nancy Lorraine,0.92818,0.0,0.95134,74441,8.31904,0.0,8.35036,2017-05-17 20:56
NCE,4.0,11.0,22.0,1.15737,25.89458,35.0645,60.95908,,2502,4.62396,1.0,0.0,Nice,1.53237,0.0,0.0,74437,11.21608,0.0,22.15996,2017-05-17 20:56
LOR,21.0,5.0,10.0,1.43268,-24.1005,69.5342,45.4337,,273,21.73102,0.0,0.0,Lorient,1.38683,0.0,0.20308,74443,5.584,0.0,10.68498,2017-05-09 20:40
LYON,13.0,3.0,19.0,1.13176,30.00434,47.06952,77.07386,,167,13.53868,0.0,1.0,Lyon,2.10172,0.0,0.0,74432,3.67042,0.0,20.7909,2017-05-09 20:40
TOU,14.0,12.0,10.0,1.17596,-3.65618,42.0911,38.43492,,179,14.61926,0.0,0.0,Toulouse,1.11233,0.0,0.0,74439,12.5936,0.0,10.78714,2017-05-09 20:40
MNT,17.0,9.0,10.0,1.35521,-15.16966,64.33766,49.168,,274,17.99884,0.0,0.0,Montpellier,1.41678,0.0,0.00014,74452,9.52318,0.0,10.47798,2017-05-09 20:40
DIJ,17.0,12.0,7.0,1.50735,-14.03706,60.28618,46.24912,,3170,17.71874,0.0,0.0,Dijon FCO,1.27854,0.0,0.45564,74455,12.58382,0.0,7.69744,2017-05-09 20:40
MON,3.0,5.0,27.0,0.88375,74.67264,30.9769,105.64954,,174,3.21796,1.0,0.0,AS Monaco,2.47706,0.99094,0.0,74430,5.45198,0.99094,29.33006,2017-05-09 20:40
NAN,14.0,9.0,13.0,1.16392,-13.89376,52.22498,38.33122,,165,14.68108,0.0,0.0,Nantes,1.3151,0.0,0.0,74463,9.5935,0.0,13.72542,2017-05-09 20:40
REN,11.0,14.0,11.0,1.11208,-8.02102,42.68764,34.66662,,169,12.15938,0.0,0.0,Stade Rennes,1.07174,0.0,0.0,74434,14.46616,0.0,11.37446,2017-05-09 20:40
LLE,17.0,7.0,12.0,1.15021,-7.61298,46.51238,38.8994,,166,18.04912,0.0,0.0,Lille,1.28152,0.0,0.0,74438,7.44848,0.0,12.5024,2017-05-09 20:40
ANG,18.0,7.0,11.0,1.19675,-13.27334,51.50046,38.22712,,7868,18.78312,0.0,0.0,Angers,1.29563,0.0,0.0,74464,7.56434,0.0,11.65254,2017-05-09 20:40
PSG,5.0,5.0,26.0,0.75562,55.26632,27.33966,82.60598,,160,5.13086,1.0,0.0,Paris Saint-Germain,2.52817,0.00906,0.0,74427,5.2631,0.00906,27.60604,2017-05-09 20:40
MTZ,16.0,9.0,11.0,1.55822,-32.51846,72.68952,40.17106,,177,16.83078,0.0,0.0,Metz,1.23101,0.0,0.0,74444,9.56638,0.0,11.60284,2017-05-09 20:40
STE,9.0,14.0,12.0,1.07614,4.4939,38.00584,42.49974,,178,10.84214,0.0,0.00286,St Etienne,1.36597,0.0,0.0,74436,14.6463,0.0,12.51156,2017-05-09 20:40
BAS,18.0,10.0,7.0,1.49047,-28.5603,58.23492,29.67462,,173,19.6797,0.0,0.0,Bastia,0.91106,0.0,0.89334,74457,10.73342,0.0,7.58688,2017-05-09 20:40
GUI,15.0,8.0,13.0,1.36746,-4.77976,51.37916,46.5994,,171,15.6806,0.0,0.0,Guingamp,1.42384,0.0,0.0,74451,8.54854,0.0,13.77086,2017-05-09 20:40
BOR,9.0,12.0,15.0,1.09611,10.38612,43.3578,53.74392,,159,9.62886,0.0,0.99728,Bordeaux,1.58566,0.0,0.0,74428,12.56212,0.0,15.80902,2017-05-09 20:40
MRS,10.0,10.0,16.0,1.10832,15.99254,42.01852,58.01106,,176,10.53302,0.0,0.99986,Marseille,1.70129,0.0,0.0,74431,10.50214,0.0,16.96484,2017-05-09 20:40
CAN,20.0,6.0,10.0,1.49502,-30.39354,67.16214,36.7686,,2927,21.16234,0.0,0.0,Caen,1.23896,0.0,0.16016,74445,6.39862,0.0,10.43904,2017-05-09 20:40
NCY,20.0,8.0,8.0,1.32161,-23.5201,51.4449,27.9248,,3267,20.8189,0.0,0.0,AS Nancy Lorraine,0.94975,0.0,0.77686,74441,8.6172,0.0,8.5639,2017-05-09 20:40
NCE,3.0,11.0,22.0,1.118,28.7208,33.81536,62.53616,,2502,3.78586,1.0,0.0,Nice,1.59605,0.0,0.0,74437,11.50218,0.0,22.71196,2017-05-09 20:40
LOR,21.0,4.0,10.0,1.43991,-23.7692,69.54946,45.78026,,273,22.01196,0.0,0.0,Lorient,1.41415,0.0,0.1552,74443,4.86964,0.0,11.1184,2017-05-03 20:36
LYON,13.0,3.0,18.0,1.10682,30.02614,45.82792,75.85406,,167,13.6861,0.0,0.9999,Lyon,2.07536,0.0,0.0,74432,3.91358,0.0,20.40032,2017-05-03 20:36
TOU,13.0,12.0,10.0,1.16273,-1.9775,41.89204,39.91454,,179,13.81016,0.0,0.0,Toulouse,1.14945,0.0,0.0,74439,12.88318,0.0,11.30666,2017-05-03 20:36
MNT,16.0,9.0,10.0,1.3811,-14.46008,64.65344,50.19336,,274,17.42158,0.0,0.0,Montpellier,1.45561,0.0,0.0001,74452,9.8216,0.0,10.75682,2017-05-03 20:36
DIJ,16.0,12.0,7.0,1.44115,-10.44026,57.74394,47.30368,,3170,17.17342,0.0,0.0,Dijon FCO,1.30626,0.0,0.2605,74455,12.86178,0.0,7.9648,2017-05-03 20:36
MON,3.0,5.0,26.0,0.91222,73.34744,31.68508,105.03252,,174,3.30548,1.0,0.0,AS Monaco,2.42775,0.9747,0.0,74430,5.63192,0.9747,29.0626,2017-05-03 20:36
NAN,13.0,9.0,13.0,1.14847,-14.12388,51.1654,37.04152,,165,14.3349,0.0,0.00182,Nantes,1.28412,0.0,0.0,74463,9.81298,0.0,13.85212,2017-05-03 20:36
REN,11.0,14.0,10.0,1.14142,-8.62402,43.65512,35.0311,,169,12.4055,0.0,0.0,Stade Rennes,1.09643,0.0,0.0,74434,14.77514,0.0,10.81936,2017-05-03 20:36
LLE,16.0,7.0,12.0,1.11862,-4.53128,45.11632,40.58504,,166,17.17252,0.0,0.0,Lille,1.33861,0.0,0.0,74438,7.72232,0.0,13.10516,2017-05-03 20:36
ANG,18.0,6.0,11.0,1.21884,-13.62204,51.92708,38.30504,,7868,19.22664,0.0,0.0,Angers,1.30311,0.0,0.0002,74464,6.84198,0.0,11.93138,2017-05-03 20:36
PSG,5.0,5.0,25.0,0.76626,52.21762,27.80222,80.01984,,160,5.19392,1.0,0.0,Paris Saint-Germain,2.4259,0.0253,0.0,74427,5.41286,0.0253,27.39322,2017-05-03 20:36
MTZ,16.0,9.0,10.0,1.61759,-35.46946,74.36036,38.8909,,177,17.4253,0.0,0.0,Metz,1.19387,0.0,0.00092,74444,9.829,0.0,10.7457,2017-05-03 20:36
STE,9.0,13.0,12.0,1.03202,5.09378,36.56252,41.6563,,178,11.05384,0.0,0.03336,St Etienne,1.2963,0.0,0.0,74436,14.0119,0.0,12.93426,2017-05-03 20:36
BAS,17.0,10.0,7.0,1.42806,-25.71408,55.84744,30.13336,,173,19.48968,0.0,0.0,Bastia,0.92484,0.0,0.80204,74457,10.85358,0.0,7.65674,2017-05-03 20:36
