code,current_losses,current_ties,current_wins,d_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_second_round,make_semis,name,o_rating,sdr_id,ties,win_final,wins,win_league,make_round_of_16,last_updated
SCP,5.0,0.0,1.0,0.8532,-3.0,F,0.0,0.0,0.0,1.0,2250,5.0,0.0,0.0,0.0,0.0,Sporting CP,1.70553,74330,0.0,0.0,1.0,0.0,0.0,2017-06-03 20:52
ARS,0.0,2.0,4.0,1.00141,12.0,A,1.0,0.0,0.0,0.0,359,0.0,0.0,0.0,1.0,0.0,Arsenal,2.45211,73616,2.0,0.0,4.0,0.0,1.0,2017-06-03 20:52
POR,1.0,2.0,3.0,0.92545,6.0,G,0.0,1.0,0.0,0.0,437,1.0,0.0,0.0,1.0,0.0,FC Porto,1.80947,74329,2.0,0.0,3.0,0.0,1.0,2017-06-03 20:52
TOT,3.0,1.0,2.0,0.67874,0.0,E,0.0,0.0,1.0,0.0,367,3.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,2.49624,73602,1.0,0.0,2.0,0.0,0.0,2017-06-03 20:52
SEV,1.0,2.0,3.0,0.98066,4.0,H,0.0,1.0,0.0,0.0,243,1.0,0.0,0.0,1.0,0.0,Sevilla FC,1.90061,93401,2.0,0.0,3.0,0.0,1.0,2017-06-03 20:52
BES,1.0,4.0,1.0,1.50455,-5.0,B,0.0,0.0,1.0,0.0,1895,1.0,0.0,0.0,0.0,0.0,Besiktas,1.75653,74202,4.0,0.0,1.0,0.0,0.0,2017-06-03 20:52
PSV,4.0,2.0,0.0,1.17512,-7.0,D,0.0,0.0,0.0,1.0,148,4.0,0.0,0.0,0.0,0.0,PSV,1.85881,93373,2.0,0.0,0.0,0.0,0.0,2017-06-03 20:52
ROS,3.0,2.0,1.0,1.4208,-6.0,D,0.0,0.0,1.0,0.0,3852,3.0,0.0,0.0,0.0,0.0,Rostov,1.39696,74350,2.0,0.0,1.0,0.0,0.0,2017-05-29 01:20
LYON,2.0,2.0,2.0,1.11735,2.0,H,0.0,0.0,1.0,0.0,167,2.0,0.0,0.0,0.0,0.0,Lyon,2.09778,74432,2.0,0.0,2.0,0.0,0.0,2017-05-29 01:20
MAD,0.0,3.0,3.0,0.89172,6.0,F,0.0,1.0,0.0,0.0,86,0.0,1.0,1.0,1.0,1.0,Real Madrid,3.31696,74013,3.0,0.55513,3.0,0.55513,1.0,2017-05-29 01:20
CBKV,6.0,0.0,0.0,1.51857,-12.0,G,0.0,0.0,0.0,1.0,570,6.0,0.0,0.0,0.0,0.0,Club Brugge,1.02543,72883,0.0,0.0,0.0,0.0,0.0,2017-05-29 01:20
BAS,4.0,2.0,0.0,1.31309,-9.0,A,0.0,0.0,0.0,1.0,989,4.0,0.0,0.0,0.0,0.0,Basel,1.85505,93159,2.0,0.0,0.0,0.0,0.0,2017-05-29 01:20
PSG,0.0,3.0,3.0,0.78273,6.0,A,0.0,1.0,0.0,0.0,160,0.0,0.0,0.0,1.0,0.0,Paris Saint-Germain,2.61621,74427,3.0,0.0,3.0,0.0,1.0,2017-05-29 01:20
DIN,6.0,0.0,0.0,1.22434,-15.0,H,0.0,0.0,0.0,1.0,597,6.0,0.0,0.0,0.0,0.0,Dinamo Zagreb,1.26939,72934,0.0,0.0,0.0,0.0,0.0,2017-05-29 01:20
DOR,0.0,2.0,4.0,0.92743,12.0,F,1.0,0.0,0.0,0.0,124,0.0,0.0,1.0,1.0,0.0,Borussia Dortmund,2.50974,74050,2.0,0.0,4.0,0.0,1.0,2017-05-29 01:20
MON,1.0,2.0,3.0,0.92086,2.0,E,1.0,0.0,0.0,0.0,174,1.0,0.0,1.0,1.0,1.0,AS Monaco,2.5458,74430,2.0,0.0,3.0,0.0,1.0,2017-05-29 01:20
