code,current_losses,current_ties,current_wins,d_rating,goal_diff,goals_against,goals_scored,group,id,losses,make_champs,make_europa,name,o_rating,position_1,relegated,sdr_id,ties,win_league,wins,last_updated
VIG,19.0,6.0,13.0,1.3009,-16.0,69.0,53.0,,85,19.0,0.0,0.0,Celta Vigo,1.5269,0.0,0.0,74008,6.0,0.0,13.0,2017-05-21 19:50
ATL,6.0,9.0,23.0,0.62879,43.0,27.0,70.0,,1068,6.0,1.0,0.0,Atletico Madrid,1.86649,0.0,0.0,74010,9.0,0.0,23.0,2017-05-21 19:50
LEG,19.0,11.0,8.0,1.01167,-19.0,55.0,36.0,,17534,19.0,0.0,0.0,Leganes,1.33419,0.0,0.0,78708,11.0,0.0,8.0,2017-05-21 19:50
MAD,3.0,6.0,29.0,0.89172,65.0,41.0,106.0,,86,3.0,1.0,0.0,Real Madrid,3.31696,1.0,0.0,74013,6.0,1.0,29.0,2017-05-21 19:50
SOC,12.0,7.0,19.0,1.06864,6.0,53.0,59.0,,89,12.0,0.0,1.0,Real Sociedad,1.76009,0.0,0.0,75770,7.0,0.0,19.0,2017-05-21 19:50
SEV,8.0,9.0,21.0,0.98066,20.0,49.0,69.0,,243,8.0,1.0,0.0,Sevilla FC,1.90061,0.0,0.0,93401,9.0,0.0,21.0,2017-05-21 19:50
VAL,18.0,7.0,13.0,1.19187,-9.0,65.0,56.0,,94,18.0,0.0,0.0,Valencia,1.70651,0.0,0.0,74016,7.0,0.0,13.0,2017-05-21 19:50
ESP,12.0,11.0,15.0,0.9992,-1.0,50.0,49.0,,88,12.0,0.0,0.0,Espanyol,1.29478,0.0,0.0,74018,11.0,0.0,15.0,2017-05-21 19:50
BET,19.0,9.0,10.0,1.24286,-23.0,64.0,41.0,,244,19.0,0.0,0.0,Real Betis,1.38572,0.0,0.0,74025,9.0,0.0,10.0,2017-05-21 19:50
VLR,9.0,10.0,19.0,0.91481,23.0,33.0,56.0,,102,9.0,0.0,1.0,Villarreal,1.77008,0.0,0.0,74019,10.0,0.0,19.0,2017-05-21 19:50
PAL,19.0,9.0,10.0,1.47448,-21.0,74.0,53.0,,98,19.0,0.0,0.0,Las Palmas,1.4617,0.0,0.0,73975,9.0,0.0,10.0,2017-05-21 19:50
GRN,26.0,8.0,4.0,1.53312,-52.0,82.0,30.0,,3747,26.0,0.0,0.0,Granada,0.98095,0.0,1.0,74005,8.0,0.0,4.0,2017-05-21 19:50
GIJ,21.0,9.0,7.0,1.29124,-29.55616,71.0582,41.50204,,3788,21.26204,0.0,0.0,Sporting Gijón,1.41264,0.0,1.0,74001,9.26892,0.0,7.46904,2017-05-17 21:37
OSA,23.0,10.0,4.0,1.60977,-50.3818,91.11048,40.72868,,97,23.69242,0.0,0.0,Osasuna,1.2955,0.0,1.0,74015,10.19462,0.0,4.11296,2017-05-17 21:37
EIB,13.0,9.0,15.0,0.98416,3.97312,50.33468,54.3078,,3752,13.92714,0.0,0.0,Eibar,1.44728,0.0,0.0,73965,9.0593,0.0,15.01356,2017-05-17 21:37
MGA,15.0,10.0,12.0,1.03517,-5.50182,55.74894,50.24712,,99,15.68968,0.0,0.0,Málaga,1.50914,0.0,0.0,74004,10.16776,0.0,12.14256,2017-05-17 21:37
BIL,12.0,6.0,19.0,0.82604,11.26126,41.34332,52.60458,,93,12.54376,0.0,1.0,Athletic Bilbao,1.77835,0.0,0.0,74011,6.29212,0.0,19.16412,2017-05-17 21:37
ALA,11.0,12.0,14.0,0.97836,-2.391,43.22274,40.83174,,96,11.4439,0.0,0.0,Alavés,1.35348,0.0,0.0,74003,12.3118,0.0,14.2443,2017-05-17 21:37
DEP,18.0,12.0,7.0,1.18545,-20.55696,62.0968,41.53984,,90,18.26494,0.0,0.0,Deportivo La Coruña,1.3319,0.0,0.0,74022,12.26518,0.0,7.46988,2017-05-17 21:37
BAR,4.0,6.0,27.0,0.73768,80.02688,35.3078,115.33468,,83,4.01356,1.0,0.0,Barcelona,3.40809,0.13162,0.0,74014,6.0593,0.13162,27.92714,2017-05-17 21:37
VIG,19.0,5.0,13.0,1.28669,-16.02114,68.40438,52.38324,,85,19.37312,0.0,0.0,Celta Vigo,1.51247,0.0,0.0,74008,5.26402,0.0,13.36286,2017-05-17 21:37
ATL,6.0,9.0,22.0,0.60331,41.73874,26.60458,68.34332,,1068,6.16412,1.0,0.0,Atletico Madrid,1.78377,0.0,0.0,74010,9.29212,0.0,22.54376,2017-05-17 21:37
LEG,19.0,10.0,8.0,0.98785,-18.609,54.83174,36.22274,,17534,19.2443,0.0,0.0,Leganes,1.33789,0.0,0.0,78708,10.3118,0.0,8.4439,2017-05-17 21:37
MAD,3.0,6.0,28.0,0.91856,64.50182,42.24712,106.74894,,86,3.14256,1.0,0.0,Real Madrid,3.33504,0.86838,0.0,74013,6.16776,0.86838,28.68968,2017-05-17 21:37
SOC,12.0,6.0,19.0,1.0574,6.02114,52.38324,58.40438,,89,12.36286,0.0,1.0,Real Sociedad,1.74235,0.0,0.0,75770,6.26402,0.0,19.37312,2017-05-17 21:37
SEV,8.0,9.0,20.0,1.00916,16.3818,49.72868,66.11048,,243,8.11296,1.0,0.0,Sevilla FC,1.85235,0.0,0.0,93401,9.19462,0.0,20.69242,2017-05-17 21:37
VAL,17.0,7.0,13.0,1.15977,-6.94184,63.28194,56.3401,,94,17.34922,0.0,0.0,Valencia,1.69487,0.0,0.0,74016,7.27194,0.0,13.37884,2017-05-17 21:37
ESP,12.0,11.0,14.0,1.0053,-1.87554,50.0222,48.14666,,88,12.3153,0.0,0.0,Espanyol,1.29107,0.0,0.0,74018,11.30076,0.0,14.38394,2017-05-17 21:37
BET,19.0,8.0,10.0,1.23576,-23.44384,63.50204,40.0582,,244,19.46904,0.0,0.0,Real Betis,1.33066,0.0,0.0,74025,8.26892,0.0,10.26204,2017-05-17 21:37
VLR,9.0,10.0,18.0,0.90727,20.94184,33.3401,54.28194,,102,9.37884,0.0,1.0,Villarreal,1.72732,0.0,0.0,74019,10.27194,0.0,18.34922,2017-05-17 21:37
PAL,18.0,9.0,10.0,1.46666,-18.44304,72.53984,54.0968,,98,18.46988,0.0,0.0,Las Palmas,1.48719,0.0,0.0,73975,9.26518,0.0,10.26494,2017-05-17 21:37
GRN,25.0,8.0,4.0,1.52893,-51.12446,81.14666,30.0222,,3747,25.38394,0.0,0.0,Granada,0.98698,0.0,1.0,74005,8.30076,0.0,4.3153,2017-05-17 21:37
GIJ,21.0,9.0,6.0,1.35469,-31.51082,72.77282,41.262,,3788,21.8547,0.0,0.0,Sporting Gijón,1.3771,0.0,0.97776,74001,9.52208,0.0,6.62322,2017-05-10 20:41
OSA,23.0,10.0,3.0,1.61058,-50.7451,90.99676,40.25166,,97,23.90416,0.0,0.0,Osasuna,1.28282,0.0,1.0,74015,10.46548,0.0,3.63036,2017-05-10 20:41
EIB,12.0,9.0,15.0,0.95639,6.47598,49.64986,56.12584,,3752,13.03428,0.0,0.0,Eibar,1.51611,0.0,0.0,73965,9.34914,0.0,15.61658,2017-05-10 20:41
MGA,15.0,9.0,12.0,1.01835,-5.79468,54.94496,49.15028,,99,16.14258,0.0,0.0,Málaga,1.48075,0.0,0.0,74004,9.45436,0.0,12.40306,2017-05-10 20:41
BIL,12.0,5.0,19.0,0.80665,12.28542,40.93122,53.21664,,93,12.6673,0.0,1.0,Athletic Bilbao,1.79643,0.0,0.0,74011,5.55074,0.0,19.78196,2017-05-10 20:41
ALA,11.0,12.0,13.0,0.95867,-3.79754,43.054,39.25646,,96,11.6582,0.0,0.0,Alavés,1.31962,0.0,0.0,74003,12.59444,0.0,13.74736,2017-05-10 20:41
